timestamp,pitch_hz,confidence,voiced
31.6240,397.35,1.0000,true
31.6400,396.98,0.9999,true
31.6560,396.66,0.9999,true
31.6720,396.40,0.9999,true
31.6880,396.37,0.9999,true
31.7040,396.95,0.9999,true
31.7200,397.23,0.9998,true
31.7360,396.29,0.9996,true
31.7520,393.25,0.9995,true
31.7680,391.07,0.9996,true
31.7840,390.48,0.9996,true
31.8000,390.34,0.9997,true
31.8160,390.28,0.9997,true
31.8320,390.25,0.9995,true
31.8480,390.29,0.9992,true
31.8640,390.40,0.9985,true
31.8800,390.54,0.9983,true
31.8960,390.70,0.9986,true
31.9120,391.14,0.9989,true
31.9280,392.28,0.9993,true
31.9440,394.02,0.9992,true
31.9600,394.71,0.9986,true
31.9760,394.95,0.9965,true
31.9920,394.64,0.9878,true
32.0080,395.53,0.9719,true
32.0240,396.64,0.9258,true
32.0400,398.65,0.7957,true
32.0560,1977.49,0.5308,false
32.0720,1977.43,0.7281,false
32.0880,1978.01,0.4984,false
32.1040,1981.34,0.2435,false
32.1200,435.34,0.7889,true
32.1360,440.61,0.8863,true
32.1520,440.22,0.9439,true
32.1680,439.96,0.9778,true
32.1840,437.93,0.9677,true
32.2000,428.71,0.9119,true
32.2160,414.70,0.8631,true
32.2320,407.62,0.8100,true
32.2480,408.75,0.7822,true
32.2640,417.30,0.7876,true
32.2800,421.48,0.8123,true
32.2960,421.77,0.8957,true
32.3120,410.11,0.9260,true
32.3280,400.05,0.9553,true
32.3440,394.93,0.9676,true
32.3600,390.84,0.9773,true
32.3760,386.42,0.9818,true
32.3920,382.08,0.9843,true
32.4080,376.74,0.9447,true
32.4240,368.46,0.7874,true
32.4400,353.38,0.6870,true
32.4560,365.65,0.3641,false
32.4720,380.54,0.4025,false
32.4880,386.12,0.4532,false
32.5040,381.98,0.7033,true
32.5200,358.85,0.8217,true
32.5360,345.34,0.8334,true
32.5520,334.34,0.7149,true
32.5680,320.28,0.4644,false
32.5840,309.21,0.4510,false
32.6000,306.00,0.3601,false
32.6160,304.84,0.3699,false
32.6320,315.62,0.4232,false
32.6480,321.93,0.4591,false
32.6640,323.83,0.4351,false
32.6800,326.86,0.3608,false
32.6960,366.61,0.2967,false
32.7120,348.15,0.5792,false
32.7280,338.72,0.7020,true
32.7440,354.52,0.8191,true
32.7600,375.19,0.8394,true
32.7760,388.52,0.9137,true
32.7920,395.33,0.9530,true
32.8080,397.32,0.9676,true
32.8240,397.56,0.9564,true
32.8400,396.75,0.9706,true
32.8560,394.80,0.9828,true
32.8720,391.61,0.9870,true
32.8880,390.96,0.9899,true
32.9040,390.95,0.9938,true
32.9200,390.64,0.9935,true
32.9360,390.38,0.9912,true
32.9520,390.26,0.9931,true
32.9680,390.26,0.9945,true
32.9840,390.36,0.9917,true
33.0000,390.49,0.9905,true
33.0160,390.50,0.9897,true
33.0320,390.62,0.9875,true
33.0480,391.03,0.9894,true
33.0640,391.64,0.9891,true
33.0800,392.12,0.9582,true
33.0960,391.92,0.8407,true
33.1120,388.04,0.6549,true
33.1280,391.60,0.8122,true
33.1440,391.54,0.9470,true
33.1600,391.21,0.9515,true
33.1760,390.72,0.8224,true
33.1920,383.36,0.4354,false
33.2080,322.09,0.3646,false
33.2240,313.14,0.7647,true
33.2400,311.06,0.9190,true
33.2560,304.64,0.9671,true
33.2720,299.58,0.9848,true
33.2880,294.60,0.9805,true
33.3040,290.46,0.9651,true
33.3200,289.74,0.9379,true
33.3360,291.33,0.8970,true
33.3520,294.56,0.8721,true
33.3680,294.43,0.8212,true
33.3840,299.38,0.7049,true
33.4000,302.82,0.6899,true
33.4160,306.57,0.8231,true
33.4320,308.92,0.9503,true
33.4480,312.31,0.9875,true
33.4640,314.15,0.9979,true
33.4800,314.54,0.9995,true
33.4960,312.16,0.9991,true
33.5120,306.89,0.9978,true
33.5280,301.39,0.9983,true
33.5440,296.88,0.9989,true
33.5600,293.94,0.9985,true
33.5760,293.02,0.9982,true
33.5920,292.12,0.9983,true
33.6080,291.67,0.9994,true
33.6240,292.17,0.9996,true
33.6400,292.75,0.9995,true
33.6560,292.98,0.9993,true
33.6720,293.04,0.9995,true
33.6880,293.06,0.9995,true
33.7040,293.11,0.9995,true
33.7200,293.34,0.9990,true
33.7360,293.83,0.9980,true
33.7520,294.23,0.9979,true
33.7680,294.32,0.9986,true
33.7840,294.23,0.9985,true
33.8000,293.85,0.9958,true
33.8160,292.81,0.9850,true
33.8320,289.74,0.9386,true
33.8480,283.76,0.7908,true
33.8640,285.18,0.7219,true
33.8800,288.44,0.8908,true
33.8960,289.66,0.9735,true
33.9120,295.17,0.9899,true
33.9280,299.02,0.9988,true
33.9440,299.90,0.9998,true
33.9600,299.51,0.9999,true
33.9760,297.83,0.9997,true
33.9920,295.53,0.9993,true
34.0080,293.51,0.9987,true
34.0240,292.80,0.9977,true
34.0400,292.16,0.9932,true
34.0560,287.37,0.9481,true
34.0720,271.00,0.7441,true
34.0880,248.41,0.7758,true
